date,volume_m3,melt_on_glacier_monthly,liq_prcp_on_glacier_monthly,melt_off_glacier_monthly,liq_prcp_off_glacier_monthly,all_runoff_on_glacier,all_runoff_off_glacier,basin_runoff
1992-08,253503259.8131913,3509187043.0581975,148380183.97159094,58796632.72894937,35409589.587647,3657567227.0297885,6700684.988709169,3664267912.0184975
1992-09,253503259.8131913,1331696692.9212856,628154342.2168956,11695297.026819546,188436569.9393333,1959851035.1381812,14234947.159177111,1974085982.2973583
1992-10,253503259.8131913,186949485.4068302,18776202.030154213,76765085.24807152,58800082.19377106,205725687.43698442,9642457.367801383,215368144.8047858
1992-11,253503259.8131913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-12,253503259.8131913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-01,249934736.0487165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-02,249934736.0487165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-03,249934736.0487165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-04,249934736.0487165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-05,249934736.0487165,1467600842.2445498,576277723.9243755,542123705.1827997,160640546.24881428,2043878566.1689253,49986102.3441088,2093864668.513034
1993-06,249934736.0487165,1558113980.4897087,656348722.970469,563957312.0635161,175506587.21629098,2214462703.4601774,52596468.97786329,2267059172.4380407
1993-07,249934736.0487165,2282039579.0829906,481664136.29482174,596517026.6113126,116295618.2534727,2763703715.3778124,50700822.85176293,2814404538.229575
1993-08,249934736.0487165,3141714172.655397,209023519.747852,34150272.857108235,50467779.57268219,3350737692.403249,6018699.187242685,3356756391.5904913
1993-09,249934736.0487165,2146290584.103866,159173158.76701254,19833955.227880828,38433849.867990635,2305463742.8708787,4144463.044264907,2309608205.9151435
1993-10,249934736.0487165,532799425.1757751,160555452.31261995,9966961.469580382,151688730.2461745,693354877.4883951,11498219.97085141,704853097.4592465
1993-11,249934736.0487165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-12,249934736.0487165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-01,245355377.02168804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-02,245355377.02168804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-03,245355377.02168804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-04,245355377.02168804,41761386.64016931,0.0,101158135.49835399,3806241.1439746665,41761386.64016931,7465889.254669332,49227275.89483864
1994-05,245355377.02168804,881312083.075978,241875682.83696866,402896548.80078685,117019314.677671,1123187765.9129467,36980491.692937,1160168257.6058836
1994-06,245355377.02168804,1693398638.7728453,368902185.7546444,601707266.583302,95374898.06297365,2062300824.5274897,49581947.79156655,2111882772.3190563
1994-07,245355377.02168804,3904132250.7565556,141119752.1864416,669357608.2556442,34580502.11373988,4045252002.942997,50069596.393331416,4095321599.3363285
1994-08,245355377.02168804,3858999502.976312,101583299.97804025,41835546.91962196,24892344.72981731,3960582802.9543524,4746210.716325898,3965329013.670678
1994-09,245355377.02168804,2956674988.477823,414118205.03523517,29496111.172675073,101477045.15268403,3370793193.5130577,9315837.541641707,3380109031.0546994
1994-10,245355377.02168804,109984885.5209731,270357.82304393844,153546971.98699927,88739784.81678458,110255243.34401704,17233333.365413304,127488576.70943035
1994-11,245355377.02168804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-12,245355377.02168804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01,242742369.5165141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-02,242742369.5165141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-03,242742369.5165141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-04,242742369.5165141,8.419395251171906e-08,0.0,2.0780848282233453e-08,0.0,8.419395251171906e-08,1.478096825382132e-09,8.56720493371012e-08
1995-05,242742369.5165141,1107880655.2042012,132523851.91119061,460029999.6202522,49515545.82606463,1240404507.1153917,36242873.38432274,1276647380.4997144
1995-06,242742369.5165141,2053971593.250049,281583371.7414464,693545254.0797708,69661454.54859556,2335554964.9914956,54285243.69230853,2389840208.683804
1995-07,242742369.5165141,3765921447.676608,269532860.6406505,1104849076.4291372,66603846.66362637,4035454308.317259,83322914.59864962,4118777222.9159083
1995-08,242742369.5165141,2504476029.4314146,471432623.99536777,167710044.0823096,116494983.6772627,2975908653.4267826,20214889.381980296,2996123542.808763
